data,Ano,Mes,COR(ppm Pt Co),TURB.(FTU),pH,O.C.(ppm O2),O.D.(ppm O2),Cl-(ppm Cl-),DUR.(ppm CaCO3),Fe(ppm Fe),Mn(mg/l),Cond.(uS/cm),flag_IQR,flag_MAD,flag_IForest,flag_LOF,flag_KNN,flag_Ensemble,n_metodos,n_violacoes_conama,n_violacoes_sem_indicativos
2016-12-01,2016,Dez,65.0,22.0,7.4,8.8,3.3,35.0,41.0,1.35,0.15,245.0,False,False,False,False,False,False,0,3,2
2017-01-01,2017,Jan,220.0,210.0,7.2,7.1,4.0,24.0,36.0,2.42,0.22,120.0,False,True,False,False,False,False,1,5,4
2017-02-01,2017,Fev,151.0,75.0,7.2,6.5,3.4,17.0,46.0,5.74,0.4,163.0,True,True,False,False,False,False,2,5,4
2017-03-01,2017,Mar,146.0,126.0,7.2,6.9,3.2,27.0,37.0,2.91,0.18,180.0,False,False,False,False,False,False,0,5,4
2017-04-01,2017,Abr,75.0,27.0,7.3,22.2,3.1,32.0,44.0,4.08,0.21,208.0,True,True,False,True,True,True,5,5,4
2017-05-01,2017,Mai,146.0,15.0,7.1,4.5,3.8,35.0,36.0,2.86,0.29,203.0,False,False,False,False,False,False,0,5,4
2017-06-01,2017,Jun,89.0,14.0,7.5,6.1,5.0,37.0,48.0,1.78,0.12,316.0,False,False,False,False,False,False,0,4,3
2017-07-01,2017,Jul,46.0,8.0,7.3,6.8,3.3,47.0,49.0,0.82,0.11,277.0,False,False,False,False,False,False,0,3,2
2017-08-01,2017,Ago,47.0,8.0,7.3,7.7,2.5,53.0,58.0,0.89,0.6,386.0,True,True,False,True,False,False,3,3,2
2017-09-01,2017,Set,56.0,8.0,7.4,9.3,2.3,65.0,50.0,1.08,0.57,486.0,True,True,False,False,False,False,2,3,2
2017-11-01,2017,Nov,101.0,30.0,7.4,6.8,3.5,61.0,56.0,0.65,0.58,396.0,True,True,False,False,False,False,2,4,3
2017-12-01,2017,Dez,73.0,20.0,7.5,4.4,2.4,45.0,50.0,0.92,0.32,318.0,False,False,False,False,False,False,0,3,2
2018-01-01,2018,Jan,215.0,83.0,7.2,8.8,3.2,29.0,44.0,6.07,0.67,189.0,True,True,False,False,True,False,3,4,3
2018-02-01,2018,Fev,77.0,57.0,7.2,7.7,2.8,40.0,44.0,5.0,0.14,242.0,False,True,False,False,False,False,1,5,4
2018-03-01,2018,Mar,110.0,64.0,7.1,6.7,2.6,40.0,52.0,1.08,0.18,274.0,False,False,False,False,False,False,0,4,3
